name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Sol,0.0,0.0,0.0
Henry Draper (HD) 225261,-22.5,61.6,-51.7
Giclas white Dwarf (GD) 806,-10.2,10.1,-29.7
Henry Draper (HD) 127334,8.67,31.4,69.6
Gliese (Gl) 553,35.2,-12.1,39.0
Gliese (Gl) 553.1,24.6,-9.8,24.9
Gliese (Gl) 554,14.2,24.3,66.0
Gliese & Jahreiss (GJ) 1184,38.1,3.02,68.8
Vyssotsky McCormick (McC) 721,36.3,-2.62,57.9
Woolley (Wo) 9486,84.8,-29.6,89.4
Henry Draper (HD) 128642,-24.6,45.8,37.2
Gliese (Gl) 555,13.7,-5.25,13.5
Gliese (Gl) 556,-1.191,23.18,37.12
YZ Ceti,-2.05,1.2,-12.0
Sigma Boötis,14.1,14.1,46.3
Gliese (Gl) 558,15.2,21.8,60.9
Gliese (Gl) 558.1,62.1,-66.6,-11.9
Henry Draper (HD) 128311,27.6,1.52,46.4
Henry Draper (HD) 128750,156.0,53.4,328.0
Henry Draper (HD) 128400,41.5,-49.2,-16.2
Gliese (Gl) 559.1,-18.9,69.9,83.7
Mu Virginis,40.5,-9.27,44.5
Gliese (Gl) 561,77.0,60.0,205.0
Omicron Boötis,103.0,33.3,197.0
Henry Draper (HD) 7205,-83.7,108.0,-51.6
Gliese (Gl) 562,26.8,8.31,50.1
Luyten Half-Second (LHS) 378,35.1,-13.9,28.5
Henry Draper (HD) 130307,39.0,-2.03,50.9
Gliese (Gl) 563.1,15.5,32.6,70.3
Gliese (Gl) 563.3,58.0,3.09,81.8
Alpha(1) Librae,57.8,-20.1,47.0
Gliese (Gl) 564,22.8,14.5,51.9
Alpha(2) Librae,57.9,-20.1,47.0
Gliese (Gl) 565,43.5,-19.7,28.0
Henry Draper (HD) 131509,27.0,25.0,71.0
Woolley (Wo) 9046,30.0,-113.0,-425.0
Gliese (Gl) 567,17.06,7.445,32.7
Henry Draper (HD) 133002,-19.9,36.6,27.9
Luyten Half-Second (LHS) 3003,16.2,-7.93,9.22
Gliese (Gl) 569.1,-0.24,44.7,63.9
16 Librae,63.0,-8.59,65.1
Gliese (Gl) 570.1,63.8,-46.7,11.8
Henry Draper (HD) 132254,4.56,43.8,68.0
Gliese (Gl) 570.2,33.0,37.0,93.0
Gliese (Gl) 571,67.5,-44.9,18.0
Bonner Durchmusterung (BD) +60°1577,-6.75,51.0,63.4
Gliese (Gl) 54.3,59.6,-110.0,-162.0
Gliese (Gl) 571.1,47.5,-10.9,40.9
Gliese (Gl) 572,4.72,19.5,32.5
Gliese (Gl) 574,66.0,-44.8,14.5
Henry Draper (HD) 133412,92.3,-29.3,63.9
Gliese (Gl) 576,39.2,3.6,48.7
Eggen/Greenstein white dwarf (EG) 190,61.0,-9.3,57.0
Woolley (Wo) 9510,-27.4,122.0,134.0
Gliese (Gl) 577,-19.9,95.8,106.0
45 Boötis,26.7,19.6,55.1
Gliese (Gl) 579,21.4,15.9,45.2
Nu Phoenicis,5.082,-15.04,-46.46
Gliese & Jahreiss (GJ) 1189,47.5,33.1,93.9
Gliese (Gl) 579.3,94.4,-1.05,94.9
23 Librae,70.0,-25.9,37.8
Gliese & Jahreiss (GJ) 1190,65.8,-3.48,61.8
Beta Circini,75.3,-60.5,-2.61
Gliese (Gl) 580.2,-14.6,57.1,57.8
Eggen/Greenstein white dwarf (EG) 440,43.0,3.6,47.0
Woolley (Wo) 9518,61.0,-16.0,38.0
HO Librae,15.7,-1.5,13.0
Nu(2) Lupi,39.7,-25.3,5.71
Gliese (Gl) 55.2,-40.0,47.0,-47.0
Nu(1) Lupi,93.5,-59.0,14.0
Gliese (Gl) 583,46.4,-1.71,40.4
Woolley (Wo) 9520,18.4,11.1,30.3
Gliese & Jahreiss (GJ) 1191,56.5,-7.29,42.6
Gliese & Jahreiss (GJ) 1192,58.5,4.53,58.6
Henry Draper (HD) 137303,68.9,-23.4,32.5
Gliese (Gl) 585.1,59.0,7.06,58.8
Bonner Durchmusterung (BD) +11°2811,53.3,15.9,64.3
Gliese (Gl) 587,68.0,-43.0,6.9
Gliese (Gl) 587.1,40.4,33.6,73.8
Gliese (Gl) 56,-20.7,10.3,-95.5
Gliese (Gl) 588,16.91,-8.577,3.9
Henry Draper (HD) 138441,394.0,162.0,508.0
Gliese (Gl) 588.1,27.4,48.7,77.0
Gamma Librae,128.0,-18.1,79.8
Gliese (Gl) 591,19.1,38.8,58.3
Gliese (Gl) 594,50.1,-26.2,7.88
Gliese (Gl) 595,25.7,-4.73,13.4
Gliese & Jahreiss (GJ) 1195,69.0,-4.0,45.0
Alpha Serpentis,51.5,13.3,50.4
Gliese (Gl) 597,-12.2,31.7,25.7
Gliese & Jahreiss (GJ) 1037,-23.8,26.2,-36.9
Lambda Serpentis,26.74,7.642,26.39
Henry Draper (HD) 141272,52.6,9.07,44.7
Gliese (Gl) 599.1,137.0,-79.2,6.01
Epsilon Serpentis,51.6,12.3,46.2
Henry Draper (HD) 142474,-22.3,64.2,52.6
Gliese (Gl) 600,49.4,19.1,51.2
39 Serpentis,36.8,16.6,40.1
Chi Herculis,12.77,30.67,39.63
Gliese & Jahreiss (GJ) 1196,76.0,-17.0,29.0
Lambda Coronae Borealis,43.2,76.0,103.0
Gliese (Gl) 56.4,-31.0,46.0,18.0
Gamma Serpentis,22.63,11.96,25.71
Gliese (Gl) 604,43.3,-19.3,6.34
Woolley (Wo) 9532,-12.6,103.0,96.9
Woolley (Wo) 9533,40.1,40.0,63.5
Henry Draper (HD) 143313,37.0,33.0,55.0
Gliese (Gl) 604.1,191.0,-91.3,19.2
Woolley (Wo) 9535,-17.8,116.0,106.0
Gliese (Gl) 606,38.6,1.59,23.8
49 Librae,95.7,-7.83,47.1
Rho Coronae Borealis,22.5,30.2,42.6
Gliese (Gl) 1,3.18,-0.977,-13.83
Vyssotsky McCormick (McC) 372,-78.0,96.0,-56.0
Gliese (Gl) 608,-3.9,56.0,53.0
Theta Draconis,0.052,48.7,47.9
Luyten Half-Second (LHS) 3149,45.3,3.68,29.1
Gliese (Gl) 609.2,36.0,32.1,50.8
Gliese (Gl) 610,55.5,-6.68,23.2
Delta Normae,112.0,-51.1,10.0
Gliese (Gl) 611.1,62.8,-56.8,-21.9
Gliese (Gl) 611.2,-184.0,400.0,291.0
Gliese (Gl) 611.3,64.0,24.0,57.0
Gliese (Gl) 612,24.7,45.3,56.6
Gliese (Gl) 56.5,-30.46,43.58,13.49
Gliese (Gl) 612.1,25.0,36.0,48.0
Bonner Durchmusterung (BD) +47°2298,21.8,78.2,86.6
Gliese (Gl) 613,39.7,-24.6,-3.24
14 Herculis,14.6,37.9,43.1
Gliese & Jahreiss (GJ) 1199,39.7,20.1,39.3
Gliese (Gl) 615,37.8,-23.8,-4.04
Henry Draper (HD) 145809,76.0,-8.3,29.0
18 Scorpii,40.0,3.54,21.9
Giclas (G) 180-45,30.0,47.0,57.0
Woolley (Wo) 9551,-25.4,101.0,81.7
Henry Draper (HD) 8357,-63.5,58.2,-120.0
Epsilon Ophiuchi,91.8,14.4,54.1
CR Draconis,4.53,48.6,46.5
Woolley (Wo) 9553,128.0,-24.0,34.6
Gamma(2) Normae,114.0,-56.6,-1.11
Gliese (Gl) 618.1,84.4,14.4,49.5
Gliese (Gl) 618.4,72.1,-33.6,0.32
Gliese (Gl) 619,15.7,33.3,36.6
Sigma Serpentis,72.6,19.5,48.1
Gliese (Gl) 620,52.1,-6.67,15.7
Gliese (Gl) 621,64.3,2.14,28.1
Woolley (Wo) 9056,-55.3,55.8,-73.9
Gliese (Gl) 622,55.3,-4.63,18.2
Gliese (Gl) 623,4.9,18.28,18.16
Zeta Trianguli Australis,29.11,-24.63,-10.21
Gliese (Gl) 625,1.922,15.67,14.54
Gliese & Jahreiss (GJ) 1201,54.3,24.5,43.3
Gliese (Gl) 626,44.0,18.2,32.8
Gamma Apodis,101.0,-109.0,-56.8
Henry Draper (HD) 148555,43.0,41.0,52.0
Gliese (Gl) 626.2,19.0,31.7,35.1
Gliese & Jahreiss (GJ) 2121,67.0,2.3,27.0
Luyten Half-Second (LHS) 6,-22.0,20.0,-38.0
Gliese (Gl) 628,12.77,0.829,5.451
Gliese (Gl) 629,76.5,-23.2,8.02
Luyten (L) 8-61,42.0,-58.0,-35.0
Woolley (Wo) 9566,112.0,38.5,72.5
Gliese (Gl) 630,53.0,74.4,80.6
Giclas (G) 180-63,13.5,33.5,33.2
12 Ophiuchi,27.37,6.84,14.88
Gliese (Gl) 632,-29.1,68.7,48.1
Gliese (Gl) 632.1,39.2,49.7,54.5
Gliese (Gl) 632.3,135.0,54.8,88.8
Gliese & Jahreiss (GJ) 1039,-7.23,-3.59,-59.9
Woolley (Wo) 9572,98.0,40.1,63.8
Gliese (Gl) 634.1,83.6,21.2,43.0
Woolley (Wo) 9574,372.0,7.73,120.0
Henry Draper (HD) 150474,63.0,-16.0,5.9
Gliese & Jahreiss (GJ) 1205,7.32,50.9,44.2
Gliese (Gl) 635.1,-130.0,323.0,225.0
Gliese (Gl) 637.1,-10.6,62.5,47.6
Gliese (Gl) 638,14.03,20.23,20.24
Woolley (Wo) 9577,90.0,-13.0,14.0
Woolley (Wo) 9578,5.25,67.1,55.4
Gliese (Gl) 58.2,-41.1,40.8,-48.5
Gliese (Gl) 638.1,53.0,-21.0,-2.4
Gliese (Gl) 639,40.9,70.6,66.6
DN Draconis,0.82,28.0,22.3
Bonner Durchmusterung (BD) +39°3048,26.1,50.8,46.8
Gliese (Gl) 640,56.7,44.3,49.4
Bonner Durchmusterung (BD) +47°2391,21.4,73.5,63.1
Bonner Durchmusterung (BD) +38°2847,37.0,67.9,62.4
Gliese (Gl) 641,47.2,16.0,23.8
Gliese (Gl) 642,45.9,27.4,31.9
Despite its velocity’s low z-component,19.4,3.91,7.44
Gliese (Gl) 59.1,-41.0,54.2,8.0
Gliese & Jahreiss (GJ) 1207,27.8,7.4,12.2
Zeta Arae,69.0,-35.0,-12.0
Gliese & Jahreiss (GJ) 1208,47.0,41.5,42.7
Gliese (Gl) 647,90.0,58.0,63.0
19 Draconis,-3.845,39.39,29.24
Gliese (Gl) 649,19.0,20.1,19.2
Cordoba Durchmusterung (CD) -61°5703,68.0,-42.0,-17.0
Gliese (Gl) 650,81.1,10.9,24.2
Epsilon(2) Arae,77.6,-35.0,-11.3
Bonner Durchmusterung (BD) -5°4394,59.0,15.0,23.0
Henry Draper (HD) 9619,4.79,-36.9,-109.0
Gliese (Gl) 651,13.72,44.72,35.8
Gliese (Gl) 652,58.3,-4.48,7.27
Gliese (Gl) 653,31.7,8.89,12.2
Gliese (Gl) 654,28.2,7.91,10.8
Gliese (Gl) 654.1,57.0,22.0,26.2
Gliese (Gl) 654.2,33.0,24.0,23.0
Gliese (Gl) 654.3,71.0,-18.4,-1.76
Gliese (Gl) 654.4,-42.0,68.0,43.0
Gliese (Gl) 655,27.7,25.4,23.1
Gliese & Jahreiss (GJ) 1211,47.7,20.5,23.4
Woolley (Wo) 9057,-49.0,52.0,-36.0
Gliese (Gl) 656,37.7,-21.7,-9.82
Henry Draper (HD) 155121,56.5,26.0,27.4
Eta Scorpii,69.0,-18.9,-3.58
Gliese (Gl) 660.1,62.9,18.9,22.1
Henry Draper (HD) 155902,6.68,74.2,53.9
Gliese & Jahreiss (GJ) 1212,57.5,14.2,17.8
Gliese & Jahreiss (GJ) 1213,24.6,58.5,44.8
Delta Herculis,46.0,49.2,40.4
Bonner Durchmusterung (BD) -12°4699,77.3,14.9,19.8
Bonner Durchmusterung (BD) +11°3149,44.9,28.6,25.5
Gliese (Gl) 2,-15.3,32.6,-10.4
Upsilon Andromedae,-27.85,30.35,-15.25
Gliese & Jahreiss (GJ) 2128,38.7,22.0,19.9
Gliese (Gl) 665.1,75.0,1.4,9.5
Gliese (Gl) 667.1,62.6,-57.2,-33.0
Vyssotsky McCormick (McC) 791,57.0,21.0,22.0
Gliese (Gl) 668.1,35.0,11.0,11.0
Gliese (Gl) 671,13.2,30.7,22.5
72 Herculis,22.33,33.0,24.82
Gliese & Jahreiss (GJ) 1217,83.5,13.8,17.0
Gliese (Gl) 672.1,76.4,-6.65,2.08
Gliese (Gl) 673,21.52,10.05,8.364
Gliese (Gl) 62,-14.1,-14.9,-108.0
44 Ophiuchi,83.3,3.0,8.14
Gliese (Gl) 674,14.06,-4.21,-1.889
Gliese (Gl) 675,-4.565,34.63,22.85
Henry Draper (HD) 158233,59.0,2.77,5.42
Henry Draper (HD) 159062,17.2,58.8,39.4
Gliese (Gl) 679,34.8,57.1,38.7
Gliese (Gl) 680,30.0,-9.52,-5.11
Alpha Ophiuchi,35.0,25.5,17.5
Luyten (L) 270-137,61.0,-26.0,-14.0
Gliese (Gl) 682,15.9,-3.86,-2.06
Gliese (Gl) 63,-22.8,27.8,-3.18
Pi Arae,124.0,-51.3,-29.9
Gliese (Gl) 683.1,106.0,-22.8,-12.2
Gliese (Gl) 685,-0.49,38.8,24.7
Henry Draper (HD) 159868,81.0,-18.0,-10.0
Gliese (Gl) 686,17.9,16.4,10.7
Lambda Arae,66.8,-21.5,-12.8
Gliese (Gl) 687,-1.867,12.39,7.824
Gliese (Gl) 688,29.5,15.7,10.3
Gliese (Gl) 689,-11.6,51.6,32.5
Omega Draconis,-10.2,64.2,40.4
Cordoba Durchmusterung (CD) -49°451,6.3,-27.0,-64.0
Woolley (Wo) 9599,-5.89,73.0,45.6
Mu Arae,45.9,-16.4,-10.4
58 Ophiuchi,56.8,6.25,3.59
Gliese (Gl) 692.1,48.8,50.6,31.0
Gliese (Gl) 693,16.7,-7.57,-4.9
Gliese (Gl) 694,9.41,25.2,15.4
Gliese (Gl) 694.2,18.0,60.8,36.8
Gliese (Gl) 695.1,87.3,-5.72,-5.59
Woolley (Wo) 9605,104.0,60.6,34.1
Henry Draper (HD) 162160,129.0,239.0,141.0
Gliese (Gl) 64,-14.8,7.98,-36.4
Gliese (Gl) 696,65.8,24.9,12.4
Gliese & Jahreiss (GJ) 1221,-3.41,16.9,10.2
Gliese (Gl) 697,51.8,54.9,29.7
Henry Draper (HD) 162521,90.2,-56.0,-37.9
Gliese (Gl) 697.1,72.1,41.9,20.2
Gliese (Gl) 698,50.7,49.2,25.5
Henry Draper (HD) 163621,42.3,80.1,44.1
Henry Draper (HD) 163489,59.0,35.0,18.0
Gliese (Gl) 698.1,142.0,-47.0,-37.2
Woolley (Wo) 9608,130.0,1.71,-8.43
Gliese & Jahreiss (GJ) 1040,-83.0,93.0,-39.0
Gliese (Gl) 699.1,-19.6,42.1,25.6
Zeta Serpentis,68.2,30.5,11.8
Gliese (Gl) 700.2,40.6,52.8,26.1
Gliese (Gl) 701,22.8,10.7,3.67
Bonner Durchmusterung (BD) +35°3145,29.4,56.5,28.6
Gliese (Gl) 702.1,56.0,-3.54,-7.81
B. Edvardsson et al. give a venerable age of over 15 thousand-million years for this star,65.9,41.5,16.2
Gliese (Gl) 703,137.0,127.0,54.8
Iota Pavonis,48.3,-25.2,-19.5
Bonner Durchmusterung (BD) -12°4935,82.1,26.3,4.56
Woolley (Wo) 9059,-73.6,93.7,10.1
Gliese (Gl) 706,13.75,30.1,14.66
Gliese (Gl) 707,40.7,-7.02,-9.04
Bonner Durchmusterung (BD) +49°2743,16.5,76.4,39.0
Gliese (Gl) 708,64.3,66.7,25.9
36 Draconis,-4.7,67.3,36.3
Gliese (Gl) 708.2,44.9,40.2,14.5
Gliese (Gl) 708.4,19.8,64.3,30.9
Gliese (Gl) 709,14.6,48.6,23.2
Henry Draper Extension (HDE) 335828,57.3,79.3,32.4
Woolley (Wo) 9624,117.0,-23.5,-30.9
B. Edvardsson et al. measured a metallicity of about 110% of Sol for this star,-26.7,28.4,-13.4
Henry Draper (HD) 168060,72.0,-15.0,-19.0
Given this star's radial velocity and small proper motion,55.4,29.3,6.11
<B>Source for orbit data:</B> Marcy,63.0,25.0,2.3
Eta Serpentis,54.7,28.2,5.16
Gliese (Gl) 712,38.0,26.9,7.69
Giclas (G) 227-28,-0.19,37.2,19.0
Gliese & Jahreiss (GJ) 2135,62.0,20.0,-0.02
Lambda Sagittarii,75.9,10.7,-9.59
Gliese (Gl) 715,53.3,29.8,3.63
Gliese (Gl) 716,41.6,10.5,-3.63
Gliese (Gl) 67.1,37.9,-62.6,-49.8
Gliese & Jahreiss (GJ) 1228,4.84,43.8,20.4
Cape Photographic Durchmusterung (CPD) -62°5888,38.0,-20.0,-17.0
Bonner Durchmusterung (BD) +79°590,-25.3,65.6,37.3
Gliese & Jahreiss (GJ) 1229,58.7,55.6,14.2
Gliese (Gl) 717,77.4,29.6,-2.81
V774 Herculis,46.3,58.2,17.7
BY Draconis,7.98,48.5,21.3
Woolley (Wo) 9629,484.0,-75.0,-147.0
Woolley (Wo) 9630,96.0,14.7,-15.6
Vega,9.112,22.12,8.214
Gliese (Gl) 67.2,10.3,-93.1,-246.0
Gliese & Jahreiss (GJ) 2138,39.2,13.5,-3.19
Gliese (Gl) 722,40.9,9.51,-5.45
Henry Draper Extension (HDE) 349063,125.0,152.0,40.2
Gliese (Gl) 722.1,27.6,82.7,31.8
Gliese (Gl) 723,101.0,42.0,-5.5
Gliese (Gl) 724,49.5,18.2,-4.03
Gliese (Gl) 724.1,190.0,-47.6,-70.8
Gliese & Jahreiss (GJ) 2139,57.0,23.0,-3.4
Eggen/Greenstein white dwarf (EG) 225,65.3,47.2,5.29
Gliese (Gl) 725.1,24.3,80.3,29.4
Gliese (Gl) 3,21.7,-26.5,-39.4
107 Piscis,-14.09,11.98,-15.85
110 Herculis,38.5,47.7,10.8
Gliese (Gl) 725.3,254.0,-64.9,-99.4
Gliese (Gl) 726,40.0,22.7,-1.07
Gliese (Gl) 727,41.4,38.0,4.95
Gliese (Gl) 728,36.5,41.3,7.71
29 Sagittarii,73.0,19.0,-12.0
V1216 Sagittarii,9.321,1.925,-1.831
Gliese (Gl) 730,57.6,41.6,1.49
Gliese (Gl) 731,33.7,37.6,6.14
Gliese (Gl) 732.1,9.98,78.7,30.8
Gliese (Gl) 69,-27.5,34.0,1.42
Henry Draper (HD) 175073,74.4,-1.0,-23.3
Nu(2) Sagittarii,258.0,60.8,-53.8
V1285 Aquilae,28.4,24.9,1.61
Gliese (Gl) 736,62.0,47.0,0.7
V775 Herculis,39.7,56.5,11.2
Gliese (Gl) 739,41.2,-8.24,-16.7
Gliese (Gl) 740,28.0,22.9,0.46
Woolley (Wo) 9639,36.1,65.6,15.2
Bonner Durchmusterung (BD) +7°3922,63.6,55.9,1.96
Gliese (Gl) 740.1,49.0,35.0,-2.8
Bonner Durchmusterung (BD) +27°273,-39.0,36.0,-34.0
Gliese (Gl) 742,-7.93,38.8,18.3
Omicron Sagittarii,131.0,35.2,-31.5
Gliese (Gl) 743,61.0,88.3,13.3
<B>Source for orbit data:</B> Vogt,101.0,162.0,27.8
Gliese (Gl) 744,52.7,-0.2,-18.9
Tau Sagittarii,114.0,19.5,-33.1
Henry Draper (HD) 177996,96.0,-7.99,-38.0
Henry Draper (HD) 178076,89.0,10.4,-28.3
Gliese (Gl) 746,43.7,52.3,4.32
Gliese (Gl) 747.2,38.3,84.9,18.4
Hipparcos Input Catalog (HIC) 7978,7.4,-25.6,-49.9
Gliese (Gl) 747.3,59.3,-9.96,-25.8
Bonner Durchmusterung (BD) +79°615,-35.0,88.4,46.8
Gliese (Gl) 748,25.9,20.4,-2.2
59 Draconis,-25.0,76.4,38.2
Gliese & Jahreiss (GJ) 1233,1.57,61.3,22.2
Gliese (Gl) 751,48.7,78.2,9.4
Gliese (Gl) 754,16.8,-2.24,-7.52
Gliese & Jahreiss (GJ) 1234,12.4,35.2,7.7
Gliese (Gl) 754.2,28.1,75.8,15.2
Gliese (Gl) 755,63.1,4.06,-24.9
Gliese (Gl) 70,-13.0,8.8,-24.0
Rho(1) Sagittarii,110.0,41.1,-31.8
Gliese (Gl) 755.1,41.7,48.7,0.15
Gliese (Gl) 756,39.0,74.0,9.2
Gliese (Gl) 756.1,64.7,-37.8,-40.7
Gliese (Gl) 757,85.3,25.6,-28.0
Gliese (Gl) 758,20.07,45.83,7.104
31 Aquilae,33.2,36.5,-2.0
Delta Aquilae,38.1,32.0,-5.79
Gliese & Jahreiss (GJ) 1237,11.8,78.5,21.0
Luyten (L) 1140-40,50.0,48.0,-6.1
Luyten Half-Second (LHS) 145,12.0,-24.0,-31.0
Gliese (Gl) 761.1,49.0,107.0,12.9
Woolley (Wo) 9659,92.6,57.8,-23.8
Gliese & Jahreiss (GJ) 1239,65.7,4.55,-29.0
Gliese & Jahreiss (GJ) 1240,50.3,26.4,-14.9
Gliese (Gl) 761.2,57.3,45.8,-12.1
Gliese (Gl) 762.1,-0.37,51.8,16.8
Mu Aquilae,77.9,77.4,-12.5
Gliese (Gl) 763,34.5,31.5,-6.53
Sigma Draconis,-3.451,17.1,7.025
Henry Draper (HD) 184960,8.92,80.3,20.8
Tau Ceti,-3.49,0.373,-11.37
Gliese (Gl) 764.2,87.0,41.4,-29.7
Gliese & Jahreiss (GJ) 1241,27.0,52.0,3.28
Henry Draper (HD) 185501,38.5,97.2,10.5
Cordoba Durchmusterung (CD) -45°13383,82.3,-8.42,-44.3
Gliese (Gl) 765.2,-28.5,85.1,39.4
Woolley (Wo) 9666,103.0,47.8,-38.8
Gliese (Gl) 765.3,-1.39,141.0,41.1
Altair,11.04,12.33,-2.728
Henry Draper (HD) 187923,56.5,69.1,-12.9
Gliese & Jahreiss (GJ) 1244,52.0,-39.5,-39.4
Gliese (Gl) 74,-41.0,29.5,-55.7
Gliese (Gl) 770,40.2,12.7,-19.2
Woolley (Wo) 9672,83.0,81.3,-26.1
Gliese & Jahreiss (GJ) 1246,54.7,9.63,-28.8
Gliese (Gl) 772,28.2,23.3,-9.75
Gliese & Jahreiss (GJ) 1247,60.3,-18.2,-39.3
Gliese (Gl) 773.2,32.5,76.5,0.25
Gliese (Gl) 773.3,63.7,39.9,-27.6
Gliese (Gl) 773.4,59.1,7.94,-32.8
Henry Draper (HD) 189733,30.0,55.0,-4.68
Gliese (Gl) 773.6,32.0,-6.2,-21.0
Gliese (Gl) 75,-20.65,25.12,1.127
Gliese (Gl) 775.1,35.3,51.4,-9.22
Gliese (Gl) 775,29.4,29.1,-10.9
Gliese (Gl) 776,41.6,-25.4,-31.0
Gliese (Gl) 778,23.6,44.8,-4.03
15 Sagittae,31.1,47.8,-7.96
Gliese (Gl) 779.1,30.4,63.4,-4.04
Luyten Half-Second (LHS) 483,45.4,27.6,-20.8
Henry Draper (HD) 190780,1.5,59.0,13.0
Gliese & Jahreiss (GJ) 1249,15.7,59.4,3.67
Delta Pavonis,14.47,-8.39,-10.82
Gliese (Gl) 76,-23.9,-15.8,-123.0
Gliese (Gl) 781,1.05,50.5,10.6
Gliese (Gl) 781.2,82.7,45.6,-42.5
Gliese (Gl) 781.3,46.0,18.0,-25.0
Gliese (Gl) 782,42.1,17.5,-23.0
Gliese & Jahreiss (GJ) 2147,42.4,9.17,-25.1
Henry Draper (HD) 192020,20.0,76.9,3.56
Xi(2) Capricorni,71.7,42.8,-37.4
Gliese (Gl) 784,16.8,-1.446,-11.19
Bonner Durchmusterung (BD) -7°5223,49.6,36.5,-25.2
Gliese (Gl) 785,23.95,6.884,-14.39
Gliese (Gl) 5,-14.1,34.9,-24.1
Henry Draper (HD) 11007,-57.6,53.2,-42.1
Gliese (Gl) 786,-17.4,47.6,20.8
Henry Draper (HD) 192354,58.0,1.9,-38.0
Gliese (Gl) 786.1,13.7,78.2,5.84
Bonner Durchmusterung (BD) +6°4489,95.3,113.0,-42.2
Gliese (Gl) 787,47.8,-5.3,-33.3
Gliese (Gl) 788,-10.11,53.87,16.71
Woolley (Wo) 9691,84.9,-16.0,-61.0
Gliese (Gl) 790,51.4,11.5,-35.1
Gliese (Gl) 791,41.0,12.0,-27.0
HU Delphini,16.3,22.0,-8.23
Gliese (Gl) 77,-3.25,-46.9,-139.0
Gliese (Gl) 791.3,23.0,82.1,-5.42
Gliese (Gl) 793,-4.406,24.68,6.763
Gliese (Gl) 793.1,11.3,71.6,1.31
Henry Draper (HD) 195838,78.9,49.7,-52.6
Gliese (Gl) 794,18.1,44.0,-7.8
Alpha Indi,79.4,-10.0,-62.1
Phi(2) Pavonis,57.5,-25.5,-47.7
Gliese (Gl) 794.3,16.6,86.2,-2.81
Gliese (Gl) 796,36.6,14.6,-27.0
Gliese & Jahreiss (GJ) 1256,15.4,26.8,-8.7
Eggen/Greenstein white dwarf (EG) 269,-36.0,37.0,-13.0
Gliese (Gl) 798,30.0,-7.53,-24.5
Gliese & Jahreiss (GJ) 1257,56.9,24.8,-42.3
Gliese & Jahreiss (GJ) 2149,57.0,-37.0,-49.0
Gliese (Gl) 799.1,51.4,25.2,-38.2
Bonner Durchmusterung (BD) +56°2471,-5.7,76.9,12.7
Henry Draper (HD) 197214,56.7,15.5,-43.6
Eta Indi,59.9,-14.0,-49.3
Gliese (Gl) 802,-2.18,51.0,7.1
AU Microscopii,25.1,5.82,-19.7
Gliese (Gl) 804,26.9,56.9,-16.1
Gliese (Gl) 78,-14.0,3.2,-35.0
Psi Capricorni,36.2,13.5,-28.2
Gliese (Gl) 806,3.97,40.6,0.63
Woolley (Wo) 9706,-7.13,87.1,13.9
Eta Cephei,-6.45,45.35,9.455
Iota Microscopii,103.0,-5.22,-85.4
Giclas (G) 210-36,11.2,58.1,-4.12
Gliese (Gl) 808.2,19.1,63.7,-11.1
Giclas (G) 187-8,21.3,60.4,-12.5
Bonner Durchmusterung (BD) +52°2815,-1.89,72.8,7.04
31 Vulpeculae,66.5,202.0,-42.2
Alpha Trianguli,-41.7,35.9,-33.0
Gliese (Gl) 809,-3.505,22.27,4.431
Gliese & Jahreiss (GJ) 1259,33.9,60.6,-25.7
Gliese (Gl) 811,50.2,18.3,-42.8
