name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Gliese (Gl) 296,-15.0,-59.0,-5.7
Bonner Durchmusterung (BD) +44°1710,-70.1,4.63,43.5
Henry Draper (HD) 67199,8.481,-52.96,-17.28
Gliese & Jahreiss (GJ) 1107,-76.7,-10.2,44.6
Gliese (Gl) 296.1,-31.6,-77.2,2.69
Gliese (Gl) 296.2,-66.4,45.3,51.4
Henry Draper (HD) 4075,-63.9,99.3,28.0
Luyten (L) 97-3,12.0,-71.0,-23.0
B Carinae,6.07,-67.1,-18.0
Woolley (Wo) 9256,-60.0,-10.3,36.2
Gliese (Gl) 299,-16.9,-11.5,8.21
Woolley (Wo) 9258,-186.0,-218.0,76.3
Gliese (Gl) 300,-9.1,-16.7,2.3
Woolley (Wo) 9259,-33.0,-152.0,-8.94
Henry Draper (HD) 68835,-31.0,-21.0,16.0
Henry Draper (HD) 68834,-46.7,-27.7,25.1
Gliese (Gl) 301.1,-61.2,-13.3,38.6
Woolley (Wo) 9024,0.68,2.41,-107.0
Gliese (Gl) 302,-22.9,-32.73,9.388
Bonner Durchmusterung (BD) -14°2469,-58.9,-91.6,23.0
Gliese & Jahreiss (GJ) 1109,-23.9,-89.9,-0.33
Chi Cancri,-48.6,-14.1,30.5
Bonner Durchmusterung (BD) +14°1876,-59.0,-34.5,34.3
<B>Source for orbit data:</B> Liverpool John Moores University,-19.6,-91.7,-2.42
Henry Draper (HD) 70401,-49.7,-10.1,32.7
Alpha Chamaeleontis,20.12,-55.36,-23.59
Gliese (Gl) 305.1,-70.5,-29.1,44.2
Luyten Half-Second (LHS) 246,-28.2,19.0,22.6
Gliese (Gl) 31.3,-3.35,8.0,-90.4
Bonner Durchmusterung (BD) +33°1694,-111.0,-20.3,74.6
1 Hydrae,-56.1,-62.3,29.2
Gliese (Gl) 306.1,-42.1,-119.0,10.9
Gliese (Gl) 307.1,-57.2,5.25,41.8
Beta Volantis,18.8,-102.0,-29.6
Gliese (Gl) 308.1,-46.0,21.7,36.0
DX Cancri,-9.54,-2.92,6.34
Gliese & Jahreiss (GJ) 1112,-58.5,-10.5,40.3
Gliese (Gl) 309,-11.77,-37.74,3.611
Woolley (Wo) 9269,-40.2,-91.1,17.9
Gliese (Gl) 31.4,-18.1,30.0,-62.7
Gliese (Gl) 310,-31.3,19.6,26.3
Henry Draper (HD) 72760,-45.8,-46.1,28.4
Pi(1) Ursae Majoris,-32.7,18.4,27.5
Woolley (Wo) 9273,-43.9,-57.4,26.9
Gliese (Gl) 312,-15.4,-88.3,1.1
Gliese (Gl) 315,-42.9,-30.2,30.0
Gliese & Jahreiss (GJ) 1113,-79.4,2.59,62.4
Gliese (Gl) 316,-56.7,-74.1,35.9
Gliese (Gl) 318,-7.69,-27.9,2.82
Gliese (Gl) 320,-6.407,-35.73,1.514
Sirius,-5.745,-6.275,-1.262
Gliese (Gl) 31.5,24.5,-36.7,-56.0
Gliese (Gl) 321,-66.0,-0.055,53.2
Gliese (Gl) 321.1,-28.3,-227.0,0.75
Gliese (Gl) 321.2,-11.1,-89.8,0.39
Gliese (Gl) 322,-36.7,22.1,32.5
Henry Draper (HD) 75404,-59.0,-8.9,47.0
Gliese & Jahreiss (GJ) 1115,-64.0,-9.66,54.1
Gliese (Gl) 327,-30.0,-40.9,23.2
Gliese (Gl) 328,-39.0,-42.2,31.1
Gliese (Gl) 329,-33.7,-92.8,23.6
Henry Draper (HD) 76653,4.8,-78.1,-8.68
18 Ceti,-12.9,22.7,-101.0
Gliese (Gl) 330,-35.5,-26.9,29.6
Gliese (Gl) 330.1,-47.5,-24.4,40.8
Gliese & Jahreiss (GJ) 1117,-49.8,-10.0,42.6
Henry Draper (HD) 76932,-29.0,-58.9,22.9
TY Pyxidis,-50.8,-171.0,38.1
Gliese (Gl) 333.1,10.4,-83.8,-12.7
Giclas (G) 252-27,-50.0,42.0,46.0
Alpha Volantis,27.1,-118.0,-28.1
Gliese (Gl) 334,-22.2,-36.6,20.2
15 Ursae Majoris,-68.5,16.1,64.7
Gliese & Jahreiss (GJ) 1021,9.53,-13.8,-45.8
Gliese (Gl) 334.1,-69.5,58.9,66.2
Gliese (Gl) 334.2,-45.0,-8.68,42.4
75 Cancri,-71.7,-26.8,67.4
Henry Draper (HD) 78612,-60.1,-108.0,56.0
Gliese (Gl) 336,-49.5,-10.9,46.9
Henry Draper (HD) 78727,-44.0,-44.0,40.0
Gliese (Gl) 336.1,-58.8,6.75,56.4
Henry Draper (HD) 78899,-85.6,15.3,82.5
16 Ursae Minoris,-43.2,21.3,41.8
Gliese (Gl) 339.1,-23.8,6.88,22.9
Gliese (Gl) 33,-7.106,11.05,-20.48
18 Ursae Majoris,-82.6,24.9,81.1
K Velorum,-20.1,-163.0,23.5
Henry Draper (HD) 79873,-118.0,-148.0,121.0
Bonner Durchmusterung (BD) +27°1739,-43.0,-16.0,43.0
Henry Draper (HD) 80545,10.3,-75.5,-7.85
Gliese (Gl) 340.2,-49.7,-62.7,52.6
Gliese (Gl) 340.3,-35.9,-58.2,39.1
Gliese & Jahreiss (GJ) 1124,-55.1,-2.26,56.8
Gliese (Gl) 341,5.81,-33.4,-4.37
Gliese (Gl) 341.1,-41.7,46.9,41.0
64 Piscis,-29.7,45.7,-55.8
Gliese (Gl) 342,-38.5,36.7,38.2
Gliese (Gl) 343.1,-71.7,-4.2,76.7
Henry Draper (HD) 81762,-39.0,-31.2,44.0
Gliese (Gl) 346,-27.0,-52.0,32.0
Woolley (Wo) 9299,-33.2,-56.2,40.5
Gliese (Gl) 349,-21.7,-24.3,25.5
23 Ursae Majoris,-48.7,27.4,50.7
Gliese (Gl) 353,-29.4,-4.17,32.6
LQ Hydrae,-22.0,-47.6,28.7
24 Ursae Majoris,-64.8,49.6,67.0
van Maanen's Star,-4.014,6.457,-11.91
Gliese (Gl) 355.2,-87.6,-297.0,126.0
Gliese (Gl) 357,-7.25,-26.1,11.1
Gliese & Jahreiss (GJ) 1127,-43.4,-23.2,52.0
Gliese (Gl) 358,-0.58,-30.6,4.69
Gliese (Gl) 361,-20.0,-17.6,25.7
Gliese & Jahreiss (GJ) 2074,-28.0,-32.0,37.0
Gliese (Gl) 364,-9.93,-44.0,18.0
Gliese (Gl) 365,-37.5,1.12,44.2
Giclas (G) 161-68,-29.0,-57.0,42.0
Gliese (Gl) 367,1.38,-29.8,2.98
Gliese (Gl) 36,-2.55,3.7,-61.3
15 Leonis Minoris,-38.3,4.73,46.1
Giclas (G) 195-42,-47.6,15.3,55.0
Gliese (Gl) 369,-11.4,-30.8,20.0
Gliese (Gl) 370,1.33,-35.97,5.192
Gliese (Gl) 371,-29.5,-42.0,45.2
Gliese (Gl) 372,-18.9,-35.9,31.1
Gliese (Gl) 373,-20.8,12.4,24.1
Gliese (Gl) 374,2.17,-108.0,20.9
19 Leonis Minoris,-57.4,-0.35,74.8
Eggen/Greenstein white dwarf (EG) 69,-44.5,-22.4,61.6
Phi(2) Ceti,-8.13,12.1,-48.3
Gliese (Gl) 375,4.47,-51.3,6.07
DH Leonis,-57.7,-30.0,83.5
20 Leonis Minoris,-27.9,-7.73,39.0
Gliese (Gl) 377,-4.09,-49.1,17.6
Gliese & Jahreiss (GJ) 2077,-34.9,-31.1,53.3
Gliese (Gl) 378,-29.5,5.81,38.2
Henry Draper (HD) 86972,-19.7,-70.4,43.9
Gliese (Gl) 378.1,-54.5,5.37,72.0
Gliese (Gl) 378.2,-27.6,-44.3,50.8
21 Leonis Minoris,-51.7,-9.0,74.5
Cordoba Durchmusterung (CD) -28°258,-0.7,-0.6,-163.0
Woolley (Wo) 9315,-30.7,-112.0,74.5
Gliese (Gl) 379.2,2.04,-143.0,40.3
Gliese (Gl) 380,-9.337,2.338,12.64
Gliese (Gl) 381,-9.02,-18.8,18.4
Gliese (Gl) 382,-7.72,-17.6,16.7
Gliese (Gl) 383,-9.12,-47.2,28.1
Gliese (Gl) 383.1,-43.5,14.9,58.6
Gliese (Gl) 385.1,-1.06,-70.0,24.4
Woolley (Wo) 9321,-41.8,-115.0,98.8
Woolley (Wo) 9322,-41.8,-70.7,84.5
Gliese (Gl) 39,-28.6,42.8,-49.4
Gliese & Jahreiss (GJ) 2079,-32.0,-22.1,54.1
Henry Draper (HD) 88737,-81.2,-55.8,138.0
Luyten (L) 190-21,7.77,-35.4,0.21
Gliese (Gl) 386,-9.51,-35.0,26.4
Henry Draper (HD) 89269,-37.7,3.98,55.6
Henry Draper (HD) 89391,-4.6,-64.0,30.0
AD Leonis,-7.45,-5.51,13.0
40 Leonis,-31.2,-24.3,56.6
<B>Source for orbit data:</B> Korzennik,-69.2,1.67,107.0
UV Ceti,-2.102,0.169,-8.29
Gliese (Gl) 41,-33.4,50.5,-1.56
Gliese & Jahreiss (GJ) 1133,-30.3,20.5,38.5
Henry Draper (HD) 89906,-38.6,-38.5,75.2
Woolley (Wo) 9327,-169.0,125.0,215.0
Henry Draper (HD) 90156,-1.17,-66.2,28.4
Gliese (Gl) 389.1,-17.8,-67.4,55.3
Gliese (Gl) 390,-8.1,-30.7,25.5
I Carinae,20.33,-47.07,-12.97
Gliese (Gl) 392.1,-36.0,46.1,38.6
Henry Draper (HD) 90711,-23.2,-74.5,70.0
McCook & Sion White Dwarf (WD) 1026+2,-17.1,-37.3,42.8
Gliese (Gl) 42,0.7,-2.37,-45.9
Gliese (Gl) 393,-6.67,-14.6,17.3
Gliese (Gl) 394,-25.0,12.0,35.0
36 Ursae Majoris,-23.12,11.16,33.12
Henry Draper (HD) 90875,-40.2,23.8,55.7
Gliese (Gl) 396,-34.7,46.7,36.4
Gliese (Gl) 397,-27.2,4.73,43.0
Gliese (Gl) 397.2,16.5,-69.2,4.46
Gliese (Gl) 398,-13.6,-24.6,34.7
Gliese (Gl) 398.1,-11.2,-61.3,50.5
Luyten Half-Second (LHS) 2293,-3.01,-39.8,25.3
Gliese (Gl) 42.1,-42.9,61.8,-59.8
Gliese & Jahreiss (GJ) 1135,5.61,-50.0,17.4
Henry Draper (HD) 92945,2.84,-63.1,30.9
Gliese & Jahreiss (GJ) 1137,7.98,-86.9,35.7
Henry Draper (HD) 93380,0.62,-56.9,33.2
Bonner Durchmusterung (BD) +22°2271,-40.4,-32.0,96.0
Luyten Half-Second (LHS) 292,-1.74,-10.9,9.74
Gliese (Gl) 402,-5.64,-11.5,18.5
Gliese (Gl) 402.1,-30.2,-94.4,122.0
Gliese (Gl) 403,-12.0,-16.0,33.0
Woolley (Wo) 9336,-0.61,-111.0,76.0
Giclas (G) 270-98,-12.0,16.0,-73.0
Gliese & Jahreiss (GJ) 1139,-37.3,42.0,46.1
Gliese (Gl) 403.1,-0.77,-83.9,58.4
Gliese (Gl) 404,39.0,-180.0,44.2
Gliese (Gl) 404.1,30.8,-91.7,0.8
Woolley (Wo) 9340,24.1,-230.0,110.0
Henry Draper (HD) 94765,-13.4,-28.4,47.8
Gliese (Gl) 406.1,-38.5,36.8,52.9
Gliese & Jahreiss (GJ) 1140,-4.57,-26.9,28.0
Woolley (Wo) 9342,-46.3,15.7,85.0
47 Ursae Majoris,-20.09,1.436,41.25
Henry Draper (HD) 5425,-0.014,-4.73,-99.4
Gliese (Gl) 408,-7.25,-5.55,19.6
Henry Draper (HD) 95486,-19.0,-26.0,60.0
48 Ursae Majoris,-38.7,23.3,65.3
Gliese (Gl) 410,-12.2,-10.2,34.5
Gliese (Gl) 412.1,135.0,-344.0,-13.8
Gliese (Gl) 412.2,11.1,-75.0,39.6
Gliese (Gl) 412.3,10.0,-75.8,42.9
Henry Draper (HD) 96937,-14.5,-54.5,82.2
Gliese (Gl) 413.1,3.05,-29.2,18.9
Woolley (Wo) 9350,46.7,-185.0,56.4
Henry Draper (HD) 5351,-43.4,65.0,8.85
Bonner Durchmusterung (BD) -9°3222,-4.44,-88.7,89.8
Gliese (Gl) 415,-1.69,-48.2,48.1
Gliese (Gl) 416,0.86,-55.5,49.1
Giclas (G) 119-62,-15.0,-2.7,37.0
Beta Crateris,21.2,-218.0,151.0
Henry Draper (HD) 97343,7.7,-59.6,37.0
Gliese (Gl) 417,-26.6,-2.16,65.6
Gliese (Gl) 418,-8.69,-30.1,49.5
Delta Leonis,-15.6,-15.9,53.2
Henry Draper (HD) 97658,-21.2,-13.4,64.8
Gliese (Gl) 44,-12.0,16.0,-42.0
Gliese & Jahreiss (GJ) 1144,1.53,-42.4,38.6
Gliese & Jahreiss (GJ) 1145,8.04,-48.7,29.1
Woolley (Wo) 9356,-7.6,-57.0,76.9
Gliese (Gl) 423.1,-3.48,-45.1,55.6
SZ Ursae Majoris,-14.12,13.31,22.43
Bonner Durchmusterung (BD) +47°1863,-32.8,13.0,72.7
Gliese & Jahreiss (GJ) 2085,-9.86,-30.5,61.4
Gliese (Gl) 427,-11.1,-10.9,41.1
Vyssotsky McCormick (McC) 39,-28.0,4.0,69.0
Henry Draper (HD) 99453,36.4,-81.6,-4.42
Gliese (Gl) 45,18.7,-30.8,-51.8
Bonner Durchmusterung (BD) +4°2470,-8.98,-49.9,86.4
Gliese (Gl) 429.2,1.9,-56.0,63.0
Henry Draper (HD) 99748,-115.0,55.4,263.0
McCook & Sion White Dwarf (WD) 1126+185,-6.0,-8.2,27.0
Gliese (Gl) 429.3,65.0,-172.0,29.2
Gliese (Gl) 429.4,27.7,-66.9,4.88
Gliese (Gl) 430,-34.4,31.9,60.2
Gliese (Gl) 430.1,-11.8,-11.4,50.2
Gliese (Gl) 431,9.8,-30.7,11.3
89 Leonis,-4.89,-43.3,74.9
Gliese & Jahreiss (GJ) 2017,-3.0,0.2,-56.0
Cordoba Durchmusterung (CD) -23°10062,9.76,-46.0,33.8
Gliese (Gl) 433,7.01,-25.2,13.6
Bonner Durchmusterung (BD) +40°2442,-25.7,4.38,75.2
Gliese (Gl) 433.1,-12.9,-4.72,48.0
Henry Draper (HD) 101206,-21.6,6.97,60.3
Henry Draper (HD) 101259,8.3,-35.0,25.0
61 Ursae Majoris,-8.589,-0.572,29.9
Gliese (Gl) 435,13.7,-36.7,11.6
Henry Draper (HD) 101563,31.4,-112.0,70.0
Gliese & Jahreiss (GJ) 1148,-11.9,4.26,33.7
Gliese (Gl) 46.1,-214.0,286.0,-348.0
Gliese (Gl) 435.1,-4.6,-46.3,89.8
Gliese (Gl) 436,-7.28,-4.52,32.3
Gliese (Gl) 438,10.3,-25.0,4.59
Henry Draper (HD) 101930,41.0,-90.4,6.07
Gliese (Gl) 439,-20.4,-5.43,81.7
Gliese (Gl) 440,6.678,-13.49,-0.805
Gliese & Jahreiss (GJ) 1149,-29.9,29.9,55.0
Gliese (Gl) 441,-41.0,49.3,62.9
Gliese & Jahreiss (GJ) 1150,-29.3,20.3,72.0
Gliese (Gl) 445,-8.267,11.06,10.89
Giclas (G) 267-18,9.46,-0.68,-42.3
Gliese & Jahreiss (GJ) 2019,-2.9,-0.9,-65.0
Gliese (Gl) 446,15.1,-47.6,29.4
FI Virginis,0.149,-5.504,9.392
Henry Draper (HD) 102540,67.1,-193.0,98.3
Denebola,-3.509,-11.21,34.22
Beta Virginis,0.598,-17.33,31.04
Gliese (Gl) 450,-7.03,0.38,27.0
Gliese & Jahreiss (GJ) 1152,-42.8,2.26,166.0
Woolley (Wo) 9376,107.0,-237.0,47.0
Gliese (Gl) 452.4,-17.8,-7.73,91.5
Gliese (Gl) 453,9.215,-26.11,18.36
Gliese (Gl) 47,-19.8,29.2,-0.91
Gliese & Jahreiss (GJ) 1153,15.5,-49.0,44.3
Gliese (Gl) 454,6.59,-26.0,32.4
Gliese (Gl) 454.1,12.2,-72.8,121.0
Gliese (Gl) 454.3,-20.0,11.0,67.0
Henry Draper (HD) 104731,30.5,-67.9,26.2
Omicron Virginis,2.15,-62.2,159.0
Gliese (Gl) 455.1,17.7,-51.1,49.7
Eta Crucis,30.62,-56.38,-2.668
Alpha Corvi,14.1,-35.8,29.0
Gliese (Gl) 456,8.95,-44.3,82.7
Gliese (Gl) 48,-15.6,23.1,4.47
McCook & Sion White Dwarf (WD) 1207-32,8.4,-36.0,59.0
Henry Draper (HD) 105631,-18.5,9.51,76.6
Woolley (Wo) 9393,-18.0,10.0,71.0
Giclas (G) 197-47,-23.4,24.8,56.5
Woolley (Wo) 9394,-0.4,-102.0,341.0
Gliese (Gl) 457,-32.9,36.6,78.3
Woolley (Wo) 9395,23.8,-77.8,117.0
Giclas (G) 123-13,-15.0,7.6,63.0
Henry Draper (HD) 106156,3.07,-33.3,95.3
12 Virginis,4.88,-52.6,153.0
Woolley (Wo) 9035,-75.3,114.0,48.3
Gliese (Gl) 458.2,-21.2,19.2,69.8
Delta Ursae Majoris,-27.5,30.4,70.4
Gliese (Gl) 459.2,-18.0,14.0,70.0
Sanford (SAN) 39,-9.5,-0.4,63.0
Woolley (Wo) 9403,-26.0,23.0,93.0
Gliese & Jahreiss (GJ) 1156,0.68,-6.46,20.3
Gliese (Gl) 459.3,-8.52,-3.58,79.8
Gliese (Gl) 460,-16.3,-15.6,196.0
Gliese (Gl) 462,-11.1,8.74,50.2
Gliese (Gl) 463,-21.6,27.9,47.0
Gliese & Jahreiss (GJ) 2020,-41.0,-4.2,-719.0
Gliese (Gl) 464,3.36,-18.7,66.6
Gliese (Gl) 464.1,-20.3,1.59,176.0
Gliese (Gl) 465,8.83,-18.9,20.1
Henry Draper (HD) 108081,33.1,-83.0,142.0
Gliese & Jahreiss (GJ) 2092,19.9,-33.8,-2.37
Gliese (Gl) 468,25.9,-52.5,56.6
Gliese (Gl) 469,4.59,-14.1,41.7
Woolley (Wo) 9407,50.9,-95.6,66.5
Luyten Palomar (LP) 377-100,-2.5,-7.6,70.0
Gliese (Gl) 469.1,35.2,-80.3,145.0
Gliese (Gl) 49,-16.4,23.8,-0.11
Gliese (Gl) 471,4.77,-13.5,41.3
Gliese & Jahreiss (GJ) 1160,-22.5,28.4,68.4
Eta Corvi,18.7,-36.6,42.9
Gliese (Gl) 472,27.5,-44.7,-5.7
Gliese (Gl) 474,-38.8,21.7,372.0
Beta Canum Venaticorum,-4.737,4.797,26.46
Henry Draper (HD) 109333,26.0,-49.6,61.8
Gliese (Gl) 476,6.65,-16.7,55.6
Gliese (Gl) 477,29.0,-49.0,17.0
Gliese (Gl) 479,16.1,-26.5,5.77
Gliese (Gl) 50,-24.0,25.0,-107.0
Gliese (Gl) 479.1,-50.9,76.4,72.1
In early 2004,27.0,-45.0,12.0
Gliese (Gl) 480,5.57,-12.5,48.2
Gliese & Jahreiss (GJ) 2096,45.4,-71.3,-23.1
Gliese (Gl) 480.1,12.3,-20.2,8.14
Gliese (Gl) 481,4.0,-8.98,45.6
Henry Draper (HD) 110463,-20.7,29.4,66.7
Gliese & Jahreiss (GJ) 1163,-0.4,-2.8,60.0
<B>Source for orbit data:</B> Mayor,-11.6,16.6,44.7
10 Canum Venaticorum,-6.99,9.36,55.4
Henry Draper (HD) 6101,-23.9,29.2,-58.9
Henry Draper (HD) 111031,33.4,-53.3,77.1
Giclas (G) 123-60,-12.0,17.8,61.7
Gliese (Gl) 485,-3.94,5.0,95.2
Gliese (Gl) 486,4.33,-6.88,25.5
Gliese & Jahreiss (GJ) 1165,25.6,-39.7,50.5
McCook & Sion White Dwarf (WD) 1246+586,-17.4,26.0,51.7
Gliese (Gl) 486.1,1.33,-2.12,56.0
Woolley (Wo) 9417,-23.4,35.9,66.1
Gliese (Gl) 487,-11.3,17.4,25.9
Henry Draper (HD) 111515,26.4,-39.9,97.2
Bonner Durchmusterung (BD) -11°192,-14.0,14.0,-64.0
McCook & Sion White Dwarf (WD) 1247+553,-13.0,19.0,44.0
Luyten Half-Second (LHS) 342,-20.7,31.5,71.9
Woolley (Wo) 9418,-61.7,95.4,118.0
Gliese (Gl) 488,8.81,-13.1,31.4
Woolley (Wo) 9420,-5.62,11.6,115.0
38 Virginis,31.4,-44.7,90.9
Gliese (Gl) 488.1,80.0,-119.0,59.1
Woolley (Wo) 9423,69.0,-102.0,41.0
Gliese (Gl) 489,29.8,-40.8,56.3
Gliese (Gl) 492,12.8,-16.1,46.7
Gliese (Gl) 51,-16.6,24.3,-0.24
Gliese (Gl) 493,26.5,-33.1,72.8
Gliese (Gl) 493.1,6.17,-7.57,24.7
Luyten Half-Second (LHS) 2668,31.0,-45.3,-0.6
DT Virginis,6.83,-7.07,36.0
Gliese (Gl) 496.1,29.3,-41.1,8.97
Gliese (Gl) 498,-11.8,24.4,66.0
40 Comae Berenices,7.8,-2.3,75.0
Henry Draper (HD) 113693,74.6,-110.0,-35.0
Woolley (Wo) 9427,-0.84,10.9,77.1
Woolley (Wo) 9429,23.8,-23.0,79.0
Henry Draper (HD) 225239,-41.0,98.0,-55.0
Gliese & Jahreiss (GJ) 1027,-23.3,29.1,-58.9
Henry Draper (HD) 114260,42.9,-52.4,57.1
RS Canum Venaticorum,-6.2,59.0,348.0
Gliese (Gl) 501.2,37.4,-47.9,27.8
Beta Comae Berenices,2.042,1.692,29.74
Giclas (G) 256-7,-27.0,43.0,32.0
Woolley (Wo) 9433,-149.0,250.0,276.0
Henry Draper (HD) 114783,23.7,-23.8,57.6
ER 8,27.8,-37.3,12.7
Gliese & Jahreiss (GJ) 1168,8.1,-3.0,58.0
Henry Draper (HD) 115019,-14.0,29.0,56.0
Woolley (Wo) 9036,-5.65,-0.63,-83.5
Gliese (Gl) 503.2,-18.3,37.2,72.8
57 Virginis,62.4,-70.4,85.3
59 Virginis,15.6,-11.2,55.3
Gliese & Jahreiss (GJ) 1170,-0.034,13.2,69.3
61 Virginis,13.62,-14.77,19.22
Henry Draper (HD) 115781,1.9,9.1,60.0
Gliese (Gl) 506.2,-78.7,125.0,94.3
Gliese (Gl) 507.1,2.0,8.53,56.0
Iota Centauri,34.0,-40.5,25.2
Gliese (Gl) 508.2,1.54,8.72,51.7
Woolley (Wo) 9037,9.22,-27.0,-128.0
Gliese (Gl) 508.3,54.9,-53.8,84.5
Gliese (Gl) 509.1,-17.3,38.6,70.1
Gliese (Gl) 510,30.0,-32.5,29.3
80 Ursae Majoris,-14.5,35.7,71.4
Gliese (Gl) 511,54.4,-56.6,60.3
Gliese (Gl) 511.1,-18.1,37.1,56.0
69 Virginis,131.0,-125.0,185.0
70 Virginis,15.6,-5.99,56.7
Gliese (Gl) 514,7.524,-3.585,23.44
Gliese (Gl) 515,27.3,-22.9,46.7
Gliese (Gl) 52,-27.8,39.7,1.2
Henry Draper (HD) 117635,42.4,-31.1,86.0
Giclas (G) 165-8,2.7,3.1,26.0
Gliese & Jahreiss (GJ) 2102,20.0,-9.59,56.0
Woolley (Wo) 9450,61.5,-66.9,38.3
Gliese & Jahreiss (GJ) 1172,24.7,-14.0,60.5
Woolley (Wo) 9452,-42.4,75.8,78.4
EQ Virginis,30.8,-24.2,51.3
Zeta Virginis,29.8,-19.2,64.1
Gliese & Jahreiss (GJ) 1173,27.0,-19.0,59.0
Gliese (Gl) 518,10.0,-5.86,24.0
Gliese (Gl) 52.1,17.0,-34.8,-87.8
Gliese (Gl) 518.1,36.3,-16.7,95.5
Gliese (Gl) 519,2.13,7.86,34.6
Gliese (Gl) 521,-2.28,15.5,40.3
Gliese (Gl) 521.1,22.0,-14.7,39.3
Gliese & Jahreiss (GJ) 1175,32.1,-32.1,23.0
Gliese (Gl) 522,33.6,-19.3,66.9
Gliese & Jahreiss (GJ) 1176,35.8,-21.5,67.2
Gliese (Gl) 524.1,40.5,-25.2,68.8
Gliese (Gl) 525,11.8,-0.15,40.9
Gliese (Gl) 525.1,40.2,-38.2,29.6
Gliese & Jahreiss (GJ) 1031,-1.6,-2.6,-43.0
Gliese (Gl) 526,5.479,-0.731,16.83
Giclas (G) 223-24,-12.9,38.3,66.3
Gliese & Jahreiss (GJ) 1178,22.7,-6.58,60.4
Gliese (Gl) 529,28.2,-22.8,28.7
Gliese (Gl) 530,40.6,-33.3,38.3
Gliese (Gl) 531,36.0,-38.5,9.7
Gliese (Gl) 532,-3.12,19.5,41.2
Luyten (L) 907-37,36.3,-23.2,52.5
Gliese (Gl) 533,24.0,-3.21,63.6
Gliese (Gl) 533.1,-21.2,50.6,66.5
Gliese (Gl) 53.2,-47.0,57.0,-75.0
Eta Boötis,11.12,1.103,35.27
Gliese (Gl) 534.2,-30.3,54.4,48.7
Gliese (Gl) 534.3,80.4,-69.7,52.9
Gliese (Gl) 535,20.7,7.92,74.5
Gliese (Gl) 536,17.3,-7.73,27.3
Vyssotsky McCormick (McC) 150,22.0,-1.0,55.0
Henry Draper (HD) 122676,30.8,0.48,79.4
Gliese (Gl) 538,22.0,-2.65,49.4
Pi Hydrae,68.6,-50.5,54.9
Theta Centauri,42.8,-35.9,24.5
Eta Ceti,-27.2,23.7,-112.0
Gliese (Gl) 539.1,56.4,-71.6,-21.1
Woolley (Wo) 9468,105.0,-115.0,-1.15
12 Boötis,32.5,19.1,114.0
Henry Draper (HD) 124106,46.9,-24.6,53.4
Gliese (Gl) 540,-22.0,39.5,33.1
50 Hydrae,160.0,-112.0,121.0
Henry Draper (HD) 124292,40.8,-15.2,58.2
Gliese (Gl) 540.2,23.0,-12.0,27.0
Woolley (Wo) 9472,37.7,-16.1,48.9
Henry Draper (HD) 124642,12.5,13.2,53.4
Woolley (Wo) 9043,-4.3,-14.1,-150.0
Gliese (Gl) 540.3,49.8,-43.8,17.7
Arcturus,12.98,3.517,34.16
Iota Virginis,41.3,-16.3,53.9
Lambda Boötis,2.87,41.6,87.7
Gliese (Gl) 541.1,65.1,-26.5,80.7
Gliese (Gl) 541.2,2.43,25.7,55.0
Gliese (Gl) 542,26.93,-27.64,0.838
Gliese (Gl) 542.2,42.4,-16.3,53.5
18 Boötis,36.6,2.04,76.8
Gliese (Gl) 545.1,66.2,-52.8,29.0
Beta Andromedae,-109.0,141.0,-89.9
Gliese (Gl) 546,11.7,11.6,44.0
Gliese (Gl) 547,31.8,-6.88,47.3
Gliese (Gl) 550,91.4,-82.2,16.8
McCook & Sion White Dwarf (WD) 1424+240,18.2,10.3,52.2
Gliese & Jahreiss (GJ) 2108,42.0,-56.0,-24.0
Gliese (Gl) 550.1,48.0,27.1,133.0
Gliese (Gl) 550.3,58.8,-48.6,17.2
Luyten Half-Second (LHS) 2924,7.34,10.5,31.9
Henry Draper (HD) 127068,33.2,2.8,62.7
Gliese (Gl) 552,20.1,3.98,41.8
